Character	Dialog
CASCA	And in their stead do ravens, crows, and kites
CASCA	Fly o'er our heads, and downward look on us,
CASCA	As we were sickly prey: their shadows seem
CASCA	A canopy most fatal, under which
CASCA	Our army lies, ready to give up the ghost.
CASCA	I but believe it partly,
CASCA	For I am fresh of spirit and resolv'd
CASCA	To meet all perils very constantly.
CASCA	Now, most noble Brutus,
CASCA	The gods to-day stand friendly, that we may,
CASCA	Lovers in peace, lead on our days to age!
CASCA	But since the affairs of men rest still incertain,
CASCA	Let's reason with the worst that may befall.
CASCA	If we do lose this battle, then is this
CASCA	The very last time we shall speak together:
CASCA	What are you then, determined to do?
CASCA	Then, if we lose this battle,
CASCA	You are contented to be led in triumph
CASCA	Thorough the streets of Rome?
CASCA	For ever, and for ever, farewell, Brutus!
CASCA	If we do meet again, we'll smile indeed;
CASCA	If not, 'tis true this parting was well made.
CASCA	O! look, Titinius, look, the villains fly:
CASCA	Myself have to mine own turn'd enemy;
CASCA	This ensign here of mine was turning back;
CASCA	I slew the coward, and did take it from him.
CASCA	This hill is far enough. Look, look, Titinius;
CASCA	Are those my tents where I perceive the fire?
CASCA	Titinius, if thou lov'st me,
CASCA	Mount thou my horse, and hide thy spurs in him,
CASCA	Till he have brought thee up to yonder troops
CASCA	And here again; that I may rest assur'd
CASCA	Whether yond troops are friend or enemy.
CASCA	Go, Pindarus, get higher on that hill;
CASCA	My sight was ever thick; regard Titinius,
CASCA	And tell me what thou not'st about the field.
CASCA	This day I breathed first; time is come round,
CASCA	And where I did begin, there shall I end;
CASCA	My life is run his compass. Sirrah, what news?
CASCA	What news?
CASCA	Come down; behold no more.
CASCA	O, coward that I am, to live so long,
CASCA	To see my best friend ta'en before my face!
CASCA	Come hither, sirrah:
CASCA	In Parthia did I take thee prisoner;
CASCA	And then I swore thee, saving of thy life,
CASCA	That whatsoever I did bid thee do,
CASCA	Thou shouldst attempt it. Come now, keep thine oath;
CASCA	Now be a freeman; and with this good sword,
CASCA	That ran through Cæsar's bowels, search this bosom.
CASCA	Stand not to answer; here, take thou the hilts;
CASCA	And, when my face is cover'd, as 'tis now,
CASCA	Guide thou the sword. Cæsar, thou art reveng'd,
CASCA	Even with the sword that kill'd thee.
CESAR	Calphurnia!
CESAR	Calphurnia!
CESAR	Stand you directly in Antonius' way
CESAR	When he doth run his course. Antonius!
CESAR	Forget not, in your speed, Antonius,
CESAR	To touch Calphurnia; for our elders say,
CESAR	The barren, touched in this holy chase,
CESAR	Shake off their sterile curse.
CESAR	Set on; and leave no ceremony out.
CESAR	Ha! Who calls?
CESAR	Who is it in the press that calls on me?
CESAR	I hear a tongue, shriller than all the music,
CESAR	Cry 'Cæsar.' Speak; Cæsar is turn'd to hear.
CESAR	What man is that?
CESAR	Set him before me; let me see his face.
CESAR	What sayst thou to me now? Speak once again.
CESAR	He is a dreamer; let us leave him: pass.
CESAR	Antonius!
CESAR	Let me have men about me that are fat;
CESAR	Sleek-headed men and such as sleep o' nights.
CESAR	Yond Cassius has a lean and hungry look;
CESAR	He thinks too much: such men are dangerous:
CESAR	Would he were fatter! but I fear him not:
CESAR	Yet if my name were liable to fear,
CESAR	I do not know the man I should avoid
CESAR	So soon as that spare Cassius. He reads much;
CESAR	He is a great observer, and he looks
CESAR	Quite through the deeds of men; he loves no plays,
CESAR	As thou dost, Antony; he hears no music;
CESAR	Seldom he smiles, and smiles in such a sort
CESAR	As if he mock'd himself, and scorn'd his spirit
CESAR	That could be mov'd to smile at any thing.
CESAR	Such men as he be never at heart's ease
CESAR	Whiles they behold a greater than themselves,
CESAR	And therefore are they very dangerous.
CESAR	I rather tell thee what is to be fear'd
CESAR	Than what I fear, for always I am Cæsar.
CESAR	Come on my right hand, for this ear is deaf,
CESAR	And tell me truly what thou think'st of him.
CESAR	Nor heaven nor earth have been at peace to-night:
CESAR	Thrice hath Calphurnia in her sleep cried out,
CESAR	'Help, ho! They murder Cæsar!' Who's within?
CESAR	Go bid the priests do present sacrifice,
CESAR	And bring me their opinions of success.
CESAR	Cæsar shall forth: the things that threaten'd me
CESAR	Ne'er look'd but on my back; when they shall see
CESAR	The face of Cæsar, they are vanished.
CESAR	What can be avoided
CESAR	Whose end is purpos'd by the mighty gods?
CESAR	Yet Cæsar shall go forth; for these predictions
CESAR	Are to the world in general as to Cæsar.
CESAR	Cowards die many times before their deaths;
CESAR	The valiant never taste of death but once.
CESAR	Of all the wonders that I yet have heard,
CESAR	It seems to me most strange that men should fear;
CESAR	Seeing that death, a necessary end,
CESAR	Will come when it will come.
CESAR	What say the augurers?
CESAR	The gods do this in shame of cowardice:
CESAR	Cæsar should be a beast without a heart
CESAR	If he should stay at home to-day for fear.
CESAR	No, Cæsar shall not; danger knows full well
CESAR	That Cæsar is more dangerous than he:
CESAR	We are two lions litter'd in one day,
CESAR	And I the elder and more terrible:
CESAR	And Cæsar shall go forth.
CESAR	Mark Antony shall say I am not well;
CESAR	And, for thy humour, I will stay at home.
CESAR	Here's Decius Brutus, he shall tell them so.
CESAR	And you are come in very happy time
CESAR	To bear my greeting to the senators,
CESAR	And tell them that I will not come to-day:
CESAR	Cannot, is false, and that I dare not, falser;
CESAR	I will not come to-day: tell them so, Decius.
CESAR	Shall Cæsar send a lie?
CESAR	Have I in conquest stretch'd mine arm so far
CESAR	To be afeard to tell greybeards the truth?
CESAR	Decius, go tell them Cæsar will not come.
CESAR	The cause is in my will: I will not come;
CESAR	That is enough to satisfy the senate:
CESAR	But for your private satisfaction,
CESAR	Because I love you, I will let you know:
CESAR	Calphurnia here, my wife, stays me at home:
CESAR	She dreamt to-night she saw my statua,
CESAR	Which, like a fountain with a hundred spouts,
CESAR	Did run pure blood; and many lusty Romans
CESAR	Came smiling, and did bathe their hands in it:
CESAR	And these does she apply for warnings and portents,
CESAR	And evils imminent; and on her knee
CESAR	Hath begg'd that I will stay at home to-day.
CESAR	And this way have you well expounded it.
CESAR	How foolish do your fears seem now, Calphurnia!
CESAR	I am ashamed I did yield to them.
CESAR	Give me my robe, for I will go:
CESAR	And look where Publius is come to fetch me.
CESAR	Welcome, Publius.
CESAR	What! Brutus, are you stirr'd so early too?
CESAR	Good morrow, Casca. Caius Ligarius,
CESAR	Cæsar was ne'er so much your enemy
CESAR	As that same ague which hath made you lean.
CESAR	What is't o'clock?
CESAR	I thank you for your pains and courtesy.
CESAR	See! Antony, that revels long o' nights,
CESAR	Is notwithstanding up. Good morrow, Antony.
CESAR	Bid them prepare within:
CESAR	I am to blame to be thus waited for.
CESAR	Now, Cinna; now, Metellus; what, Trebonius!
CESAR	I have an hour's talk in store for you;
CESAR	Remember that you call on me to-day:
CESAR	Be near me, that I may remember you.
CESAR	Good friends, go in, and taste some wine with me;
CESAR	And we, like friends, will straightway go together.
CESAR	The idea of March are come.
CESAR	What touches us ourself shall be last serv'd
CESAR	What! is the fellow mad?
CESAR	What! urge you your petitions in the street?
CESAR	Come to the Capitol.
CESAR	I must prevent thee, Cimber.
CESAR	These couchings and these lowly courtesies,
CESAR	Might fire the blood of ordinary men,
CESAR	And turn pre-ordinance and first decree
CESAR	Into the law of children. Be not fond,
CESAR	To think that Cæsar bears such rebel blood
CESAR	That will be thaw'd from the true quality
CESAR	With that which melteth fools; I mean sweet words,
CESAR	Low-crooked curtsies, and base spaniel fawning.
CESAR	Thy brother by decree is banished:
CESAR	If thou dost bend and pray and fawn for him,
CESAR	I spurn thee like a cur out of my way.
CESAR	Know, Cæsar doth not wrong, nor without cause
CESAR	Will he be satisfied.
CESAR	What, Brutus!
CESAR	I could be well mov'd if I were as you;
CESAR	If I could pray to move, prayers would move me;
CESAR	But I am constant as the northern star,
CESAR	Of whose true-fix'd and resting quality
CESAR	There is no fellow in the firmament.
CESAR	The skies are painted with unnumber'd sparks,
CESAR	They are all fire and every one doth shine,
CESAR	But there's but one in all doth hold his place:
CESAR	So, in the world; 'tis furnish'd well with men,
CESAR	And men are flesh and blood, and apprehensive;
CESAR	Yet in the number I do know but one
CESAR	That unassailable holds on his rank,
CESAR	Unshak'd of motion: and that I am he,
CESAR	Let me a little show it, even in this,
CESAR	That I was constant Cimber should be banish'd,
CESAR	And constant do remain to keep him so.
CESAR	Hence! Wilt thou lift up Olympus!
CESAR	Doth not Brutus bootless kneel?
CESAR	Et tu, Brute? Then fall, Cæsar!
CLOWN 1	Is she to be buried in Christian burial that wilfully seeks her own salvation?
CLOWN 1	How can that be, unless she drowned herself in her own defence?
CLOWN 1	It must be se offendendo; it cannot be else. For here lies the point: if I drown myself wittingly it argues an act; and an act hath three branches; it is, to act, to do, and to perform: argal, she drowned herself wittingly.
CLOWN 1	Give me leave. Here lies the water; good: here stands the man; good: if the man go to this water, and drown himself, it is, will he, nill he, he goes; mark you that? but if the water come to him, and drown him, he drowns not himself: argal, he that is not guilty of his own death shortens not his own life.
CLOWN 1	Ay, marry, is 't; crowner's quest law.
CLOWN 1	Why, there thou sayest; and the more pity that great folk should have countenance in this world to drown or hang themselves more than their even Christian. Come, my spade. There is no ancient gentlemen but gardeners, ditchers, and grave-makers; they hold up Adam's profession.
CLOWN 1	A' was the first that ever bore arms.
CLOWN 1	What! art a heathen? How dost thou understand the Scripture? The Scripture says, Adam digged; could be dig without arms?
CLOWN 1	I'll put another question to thee; if thou answerest me not to the purpose, confess thyself—
CLOWN 1	What is he that builds stronger than either the mason, the shipwright, or the carpenter?
CLOWN 1	I like thy wit well, in good faith; the gallows does well, but how does it well? it does well to those that do ill; now thou dost ill to say the gallows is built stronger than the church: argal, the gallows may do well to thee.
CLOWN 1	To 't again; come.
CLOWN 1	Ay, tell me that, and unyoke.
CLOWN 1	To 't.
CLOWN 1	Cudgel thy brains no more about it, for your dull ass will not mend his pace with beating; and, when you are asked this question next, say, 'a grave-maker:' the houses that he makes last till doomsday. Go, get thee to Yaughan; fetch me a stoup of liquor.
CLOWN 1	First Clown digs, and sings.
CLOWN 1	In youth, when I did love, did love,
CLOWN 1	Methought it was very sweet,
CLOWN 1	To contract, O! the time, for-a my behove,
CLOWN 1	O! methought there was nothing meet.
CLOWN 1	But age, with his stealing steps,
CLOWN 1	Hath claw'd me in his clutch,
CLOWN 1	And hath shipped me intil the land,
CLOWN 1	As if I had never been such.
CLOWN 1	A pick-axe, and a spade, a spade,
CLOWN 1	For and a shrouding sheet;
CLOWN 1	O! a pit of clay for to be made
CLOWN 1	For such a guest is meet.
CLOWN 1	Mine, sir,
CLOWN 1	O! a pit of clay for to be made
CLOWN 1	For such a guest is meet.
CLOWN 1	You lie out on 't, sir, and therefore it is not yours; for my part, I do not lie in 't, and yet it is mine.
CLOWN 1	'Tis a quick lie, sir; 'twill away again, from me to you.
CLOWN 1	For no man, sir.
CLOWN 1	For none, neither.
CLOWN 1	One that was a woman, sir; but, rest her soul, she's dead.
CLOWN 1	Of all the days i' the year, I came to 't that day that our last King Hamlet overcame Fortinbras.
CLOWN 1	Cannot you tell that? every fool can tell that; it was the very day that young Hamlet was born; he that is mad, and sent into England.
CLOWN 1	Why, because he was mad: he shall recover his wits there; or, if he do not, 'tis no great matter there
CLOWN 1	'Twill not be seen in him there; there the men are as mad as he.
CLOWN 1	Very strangely, they say.
CLOWN 1	Faith, e'en with losing his wits.
CLOWN 1	Why, here in Denmark; I have been sexton here, man and boy, thirty years.
CLOWN 1	Faith, if he be not rotten before he die,—as we have many pocky corses now-a-days, that will scarce hold the laying in,—he will last you some eight year or nine year; a tanner will last you nine year.
CLOWN 1	Why, sir, his hide is so tanned with his trade that he will keep out water a great while, and your water is a sore decayer of your whoreson dead body. Here's a skull now; this skull hath lain you i' the earth three-and-twenty years.
CLOWN 1	A whoreson mad fellow's it was: whose do you think it was?
CLOWN 1	A pestilence on him for a mad rogue! a' poured a flagon of Rhenish on my head once. This same skull, sir, was Yorick's skull, the king's jester.
CLOWN 1	E'en that.
DUNCAN	What bloody man is that? He can report,
DUNCAN	As seemeth by his plight, of the revolt
DUNCAN	The newest state.
DUNCAN	O valiant cousin! worthy gentleman!
DUNCAN	Dismay'd not this
DUNCAN	Our captains, Macbeth and Banquo?
DUNCAN	So well thy words become thee as thy wounds;
DUNCAN	They smack of honour both. Go, get him surgeons.
DUNCAN	Who comes here?
DUNCAN	Whence cam'st thou, worthy thane?
DUNCAN	Great happiness!
DUNCAN	No more that Thane of Cawdor shall deceive
DUNCAN	Our bosom interest. Go pronounce his present death,
DUNCAN	And with his former title greet Macbeth.
DUNCAN	What he hath lost noble Macbeth hath won.
DUNCAN	Is execution done on Cawdor? Are not
DUNCAN	Those in commission yet return'd?
DUNCAN	There's no art
DUNCAN	To find the mind's construction in the face:
DUNCAN	He was a gentleman on whom I built
DUNCAN	An absolute trust.
DUNCAN	O worthiest cousin!
DUNCAN	The sin of my ingratitude even now
DUNCAN	Was heavy on me. Thou art so far before
DUNCAN	That swiftest wing of recompense is slow
DUNCAN	To overtake thee; would thou hadst less deserv'd,
DUNCAN	That the proportion both of thanks and payment
DUNCAN	Might have been mine! only I have left to say,
DUNCAN	More is thy due than more than all can pay.
DUNCAN	Welcome hither:
DUNCAN	I have begun to plant thee, and will labour
DUNCAN	To make thee full of growing. Noble Banquo,
DUNCAN	That hast no less deserv'd, nor must be known
DUNCAN	No less to have done so, let me infold thee
DUNCAN	And hold thee to my heart.
DUNCAN	My plenteous joys
DUNCAN	Wanton in fulness, seek to hide themselves
DUNCAN	In drops of sorrow. Sons, kinsmen, thanes,
DUNCAN	And you whose places are the nearest, know
DUNCAN	We will establish our estate upon
DUNCAN	Our eldest, Malcolm, whom we name hereafter
DUNCAN	The Prince of Cumberland; which honour must
DUNCAN	Not unaccompanied invest him only,
DUNCAN	But signs of nobleness, like stars, shall shine
DUNCAN	On all deservers. From hence to Inverness,
DUNCAN	And bind us further to you.
DUNCAN	My worthy Cawdor!
DUNCAN	True, worthy Banquo; he is full so valiant,
DUNCAN	And in his commendations I am fed;
DUNCAN	It is a banquet to me. Let's after him,
DUNCAN	Whose care is gone before to bid us welcome:
DUNCAN	It is a peerless kinsman.
DUNCAN	They met me in the day of success; and I have learned by the perfectest report, they have more in them than mortal knowledge. When I burned in desire to question them further, they made themselves air, into which they vanished. Whiles I stood rapt in the wonder of it, came missives from the king, who all-hailed me, 'Thane of Cawdor;' by which title, before, these weird sisters saluted me, and referred me to the coming on of time, with, 'Hail, king that shall be!' This have I thought good to deliver thee, my dearest partner of greatness, that thou mightest not lose the dues of rejoicing, by being ignorant of what greatness is promised thee. Lay it to thy heart, and farewell.
DUNCAN	Glamis thou art, and Cawdor; and shalt be
DUNCAN	What thou art promis'd. Yet do I fear thy nature;
DUNCAN	It is too full o' the milk of human kindness
DUNCAN	To catch the nearest way; thou wouldst be great,
DUNCAN	Art not without ambition, but without
DUNCAN	The illness should attend it; what thou wouldst highly,
DUNCAN	That thou wouldst holily; wouldst not play false,
DUNCAN	And yet wouldst wrongly win; thou'dst have, great Glamis,
DUNCAN	That which cries, 'Thus thou must do, if thou have it;'
DUNCAN	And that which rather thou dost fear to do
DUNCAN	Than wishest should be undone. Hie thee hither,
DUNCAN	That I may pour my spirits in thine ear,
DUNCAN	And chastise with the valour of my tongue
DUNCAN	All that impedes thee from the golden round,
DUNCAN	Which fate and metaphysical aid doth seem
DUNCAN	To have thee crown'd withal.
DUNCAN	What is your tidings?
DUNCAN	This castle hath a pleasant seat; the air
DUNCAN	Nimbly and sweetly recommends itself
DUNCAN	Unto our gentle senses.
DUNCAN	See, see, our honour'd hostess!
DUNCAN	The love that follows us sometime is our trouble,
DUNCAN	Which still we thank as love. Herein I teach you
DUNCAN	How you shall bid God 'eyld us for your pains,
DUNCAN	And thank us for your trouble.
DUNCAN	Where's the Thane of Cawdor?
DUNCAN	We cours'd him at the heels, and had a purpose
DUNCAN	To be his purveyor; but he rides well,
DUNCAN	And his great love, sharp as his spur, hath holp him
DUNCAN	To his home before us. Fair and noble hostess,
DUNCAN	We are your guest to-night.
DUNCAN	Give me your hand;
DUNCAN	Conduct me to mine host: we love him highly,
DUNCAN	And shall continue our graces towards him.
DUNCAN	By your leave, hostess.
FRIAR LAURENCE	The grey-ey'd morn smiles on the frowning night,
FRIAR LAURENCE	Chequering the eastern clouds with streaks of light,
FRIAR LAURENCE	And flecked darkness like a drunkard reels
FRIAR LAURENCE	From forth day's path and Titan's fiery wheels:
FRIAR LAURENCE	Now, ere the sun advance his burning eye
FRIAR LAURENCE	The day to cheer and night's dank dew to dry,
FRIAR LAURENCE	I must up-fill this osier cage of ours
FRIAR LAURENCE	With baleful weeds and precious-juiced flowers.
FRIAR LAURENCE	The earth that's nature's mother is her tomb;
FRIAR LAURENCE	What is her burying grave that is her womb,
FRIAR LAURENCE	And from her womb children of divers kind
FRIAR LAURENCE	We sucking on her natural bosom find,
FRIAR LAURENCE	Many for many virtues excellent,
FRIAR LAURENCE	None but for some, and yet all different.
FRIAR LAURENCE	O! mickle is the powerful grace that lies
FRIAR LAURENCE	In herbs, plants, stones, and their true qualities:
FRIAR LAURENCE	For nought so vile that on the earth doth live
FRIAR LAURENCE	But to the earth some special good doth give,
FRIAR LAURENCE	Nor aught so good but strain'd from that fair use
FRIAR LAURENCE	Revolts from true birth, stumbling on abuse:
FRIAR LAURENCE	Virtue itself turns vice, being misapplied,
FRIAR LAURENCE	And vice sometime's by action dignified.
FRIAR LAURENCE	Within the infant rind of this weak flower
FRIAR LAURENCE	Poison hath residence and medicine power:
FRIAR LAURENCE	For this, being smelt, with that part cheers each part;
FRIAR LAURENCE	Being tasted, slays all senses with the heart.
FRIAR LAURENCE	Two such opposed foes encamp them still
FRIAR LAURENCE	In man as well as herbs, grace and rude will;
FRIAR LAURENCE	And where the worser is predominant,
FRIAR LAURENCE	Full soon the canker death eats up that plant.
FRIAR LAURENCE	Benedicite!
FRIAR LAURENCE	What early tongue so sweet saluteth me?
FRIAR LAURENCE	Young son, it argues a distemper'd head
FRIAR LAURENCE	So soon to bid good morrow to thy bed:
FRIAR LAURENCE	Care keeps his watch in every old man's eye,
FRIAR LAURENCE	And where care lodges, sleep will never lie;
FRIAR LAURENCE	But where unbruised youth with unstuff'd brain
FRIAR LAURENCE	Doth couch his limbs, there golden sleep doth reign:
FRIAR LAURENCE	Therefore thy earliness doth me assure
FRIAR LAURENCE	Thou art up-rous'd by some distemperature;
FRIAR LAURENCE	Or if not so, then here I hit it right,
FRIAR LAURENCE	Our Romeo hath not been in bed to-night.
FRIAR LAURENCE	God pardon sin! wast thou with Rosaline?
FRIAR LAURENCE	That's my good son: but where hast thou been, then?
FRIAR LAURENCE	Be plain, good son, and homely in thy drift;
FRIAR LAURENCE	Riddling confession finds but riddling shrift.
FRIAR LAURENCE	Holy Saint Francis! what a change is here;
FRIAR LAURENCE	Is Rosaline, whom thou didst love so dear,
FRIAR LAURENCE	So soon forsaken? young men's love then lies
FRIAR LAURENCE	Not truly in their hearts, but in their eyes.
FRIAR LAURENCE	Jesu Maria! what a deal of brine
FRIAR LAURENCE	Hath wash'd thy sallow cheeks for Rosaline;
FRIAR LAURENCE	How much salt water thrown away in waste,
FRIAR LAURENCE	To season love, that of it doth not taste!
FRIAR LAURENCE	The sun not yet thy sighs from heaven clears,
FRIAR LAURENCE	Thy old groans ring yet in my ancient ears;
FRIAR LAURENCE	Lo! here upon thy cheek the stain doth sit
FRIAR LAURENCE	Of an old tear that is not wash'd off yet.
FRIAR LAURENCE	If e'er thou wast thyself and these woes thine,
FRIAR LAURENCE	Thou and these woes were all for Rosaline:
FRIAR LAURENCE	And art thou chang'd? pronounce this sentence then:
FRIAR LAURENCE	Women may fall, when there's no strength in men.
FRIAR LAURENCE	For doting, not for loving, pupil mine.
FRIAR LAURENCE	Not in a grave,
FRIAR LAURENCE	To lay one in, another out to have.
FRIAR LAURENCE	O! she knew well
FRIAR LAURENCE	Thy love did read by rote and could not spell.
FRIAR LAURENCE	But come, young waverer, come, go with me,
FRIAR LAURENCE	In one respect I'll thy assistant be;
FRIAR LAURENCE	For this alliance may so happy prove,
FRIAR LAURENCE	To turn your households' rancour to pure love.
FRIAR LAURENCE	Wisely and slow; they stumble that run fast.
FRIAR LAURENCE	So smile the heaven upon this holy act,
FRIAR LAURENCE	That after hours with sorrow chide us not!
FRIAR LAURENCE	These violent delights have violent ends,
FRIAR LAURENCE	And in their triumph die, like fire and powder,
FRIAR LAURENCE	Which, as they kiss consume: the sweetest honey
FRIAR LAURENCE	Is loathsome in his own deliciousness
FRIAR LAURENCE	And in the taste confounds the appetite:
FRIAR LAURENCE	Therefore love moderately; long love doth so;
FRIAR LAURENCE	Too swift arrives as tardy as too slow.
FRIAR LAURENCE	Here comes the lady: O! so light a foot
FRIAR LAURENCE	Will ne'er wear out the everlasting flint:
FRIAR LAURENCE	A lover may bestride the gossamer
FRIAR LAURENCE	That idles in the wanton summer air,
FRIAR LAURENCE	And yet not fall; so light is vanity.
FRIAR LAURENCE	Romeo shall thank thee, daughter, for us both.
FRIAR LAURENCE	Come, come with me, and we will make short work;
FRIAR LAURENCE	For, by your leaves, you shall not stay alone
FRIAR LAURENCE	Till holy church incorporate two in one.
FRIAR LAURENCE	Romeo, come forth; come forth, thou fearful man:
FRIAR LAURENCE	Affliction is enamour'd of thy parts,
FRIAR LAURENCE	And thou art wedded to calamity.
FRIAR LAURENCE	Too familiar
FRIAR LAURENCE	Is my dear son with such sour company:
FRIAR LAURENCE	I bring thee tidings of the prince's doom.
FRIAR LAURENCE	A gentler judgment vanish'd from his lips,
FRIAR LAURENCE	Not body's death, but body's banishment.
FRIAR LAURENCE	Hence from Verona art thou banished.
FRIAR LAURENCE	Be patient, for the world is broad and wide.
FRIAR LAURENCE	O deadly sin! O rude unthankfulness!
FRIAR LAURENCE	Thy fault our law calls death; but the kind prince,
FRIAR LAURENCE	Taking thy part, hath rush'd aside the law,
FRIAR LAURENCE	And turn'd that black word death to banishment:
FRIAR LAURENCE	This is dear mercy, and thou seest it not.
FRIAR LAURENCE	Thou fond mad man, hear me but speak a word.
FRIAR LAURENCE	I'll give thee armour to keep off that word;
FRIAR LAURENCE	Adversity's sweet milk, philosophy,
FRIAR LAURENCE	To comfort thee, though thou art banished.
FRIAR LAURENCE	O! then I see that madmen have no ears.
FRIAR LAURENCE	Let me dispute with thee of thy estate.
FRIAR LAURENCE	Arise; one knocks: good Romeo, hide thyself.
FRIAR LAURENCE	Hark! how they knock. Who's there? Romeo arise;
FRIAR LAURENCE	Thou wilt be taken. Stay awhile! Stand up;
FRIAR LAURENCE	Run to my study. By and by! God's will!
FRIAR LAURENCE	What wilfulness is this! I come, I come!
FRIAR LAURENCE	Who knocks so hard? whence come you? what's your will?
FRIAR LAURENCE	Welcome, then.
FRIAR LAURENCE	There on the ground, with his own tears made drunk.
FRIAR LAURENCE	O woeful sympathy!
FRIAR LAURENCE	Piteous predicament! Even so lies she,
FRIAR LAURENCE	Blubbering and weeping, weeping and blubbering.
FRIAR LAURENCE	Stand up, stand up; stand, an you be a man:
FRIAR LAURENCE	For Juliet's sake, for her sake, rise and stand;
FRIAR LAURENCE	Why should you fall into so deep an O?
FRIAR LAURENCE	Hold thy desperate hand:
FRIAR LAURENCE	Art thou a man? thy form cries out thou art:
FRIAR LAURENCE	Thy tears are womanish; thy wild acts denote
FRIAR LAURENCE	The unreasonable fury of a beast:
FRIAR LAURENCE	Unseemly woman in a seeming man;
FRIAR LAURENCE	Or ill-beseeming beast in seeming both!
FRIAR LAURENCE	Thou hast amaz'd me: by my holy order,
FRIAR LAURENCE	I thought thy disposition better temper'd.
FRIAR LAURENCE	Hast thou slain Tybalt? wilt thou slay thyself?
FRIAR LAURENCE	And slay thy lady that in thy life lives,
FRIAR LAURENCE	By doing damned hate upon thyself?
FRIAR LAURENCE	Why rail'st thou on thy birth, the heaven, and earth?
FRIAR LAURENCE	Since birth, and heaven, and earth, all three do meet
FRIAR LAURENCE	In thes at once, which thou at once wouldst lose.
FRIAR LAURENCE	Fie, fie! thou sham'st thy shape, thy love, thy wit,
FRIAR LAURENCE	Which, like a usurer, abound'st in all,
FRIAR LAURENCE	And usest none in that true use indeed
FRIAR LAURENCE	Which should bedeck thy shape, thy love, thy wit.
FRIAR LAURENCE	Thy noble shape is but a form of wax,
FRIAR LAURENCE	Digressing from the valour of a man;
FRIAR LAURENCE	Thy dear love, sworn, but hollow perjury,
FRIAR LAURENCE	Killing that love which thou hast vow'd to cherish;
FRIAR LAURENCE	Thy wit, that ornament to shape and love,
FRIAR LAURENCE	Misshapen in the conduct of them both,
FRIAR LAURENCE	Like powder in a skilless soldier's flask,
FRIAR LAURENCE	To set a-fire by thine own ignorance,
FRIAR LAURENCE	And thou dismember'd with thine own defence.
FRIAR LAURENCE	What! rouse thee, man; thy Juliet is alive,
FRIAR LAURENCE	For whose dear sake thou wast but lately dead;
FRIAR LAURENCE	There art thou happy: Tybalt would kill thee,
FRIAR LAURENCE	But thou slew'st Tybalt; there art thou happy too:
FRIAR LAURENCE	The law that threaten'd death becomes thy friend,
FRIAR LAURENCE	And turns it to exile; there art thou happy:
FRIAR LAURENCE	A pack of blessings light upon thy back;
FRIAR LAURENCE	Happiness courts thee in her best array;
FRIAR LAURENCE	But, like a misbehav'd and sullen wench,
FRIAR LAURENCE	Thou pout'st upon thy fortune and thy love.
FRIAR LAURENCE	Take heed, take heed, for such die miserable.
FRIAR LAURENCE	Go, get thee to thy love, as was decreed,
FRIAR LAURENCE	Ascend her chamber, hence and comfort her;
FRIAR LAURENCE	But look thou stay not till the watch be set,
FRIAR LAURENCE	For then thou canst not pass to Mantua;
FRIAR LAURENCE	Where thou shalt live, till we can find a time
FRIAR LAURENCE	To blaze your marriage, reconcile your friends,
FRIAR LAURENCE	Beg pardon of the prince, and call thee back
FRIAR LAURENCE	With twenty hundred thousand times more joy
FRIAR LAURENCE	Than thou went'st forth in lamentation.
FRIAR LAURENCE	Go before, nurse: commend me to thy lady;
FRIAR LAURENCE	And bid her hasten all the house to bed,
FRIAR LAURENCE	Which heavy sorrow makes them apt unto:
FRIAR LAURENCE	Romeo is coming.
FRIAR LAURENCE	Go hence; good-night; and here stands all your state:
FRIAR LAURENCE	Either be gone before the watch be set,
FRIAR LAURENCE	Or by the break of day disguis'd from hence:
FRIAR LAURENCE	Sojourn in Mantua; I'll find out your man,
FRIAR LAURENCE	And he shall signify from time to time
FRIAR LAURENCE	Every good hap to you that chances here.
FRIAR LAURENCE	Give me thy hand; 'tis late: farewell; goodnight.
FRIAR LAURENCE	On Thursday, sir? the time is very short.
FRIAR LAURENCE	You say you do not know the lady's mind:
FRIAR LAURENCE	Uneven is the course, I like it not.
FRIAR LAURENCE	I would I knew not why it should be slow'd.
FRIAR LAURENCE	Look, sir, here comes the lady towards my cell.
FRIAR LAURENCE	That's a certain text.
FRIAR LAURENCE	My leisure serves me, pensive daughter, now:
FRIAR LAURENCE	My lord, we must entreat the time alone.
FRIAR LAURENCE	Ah! Juliet, I already know thy grief;
FRIAR LAURENCE	It strains me past the compass of my wits:
FRIAR LAURENCE	I hear thou must, and nothing may prorogue it,
FRIAR LAURENCE	On Thursday next be married to this county.
FRIAR LAURENCE	Hold, daughter; I do spy a kind of hope,
FRIAR LAURENCE	Which craves as desperate an execution
FRIAR LAURENCE	As that is desperate which we would prevent.
FRIAR LAURENCE	If, rather than to marry County Paris,
FRIAR LAURENCE	Thou hast the strength of will to slay thyself,
FRIAR LAURENCE	Then is it likely thou wilt undertake
FRIAR LAURENCE	A thing like death to chide away this shame,
FRIAR LAURENCE	That cop'st with death himself to 'scape from it;
FRIAR LAURENCE	And, if thou dar'st, I'll give thee remedy.
FRIAR LAURENCE	Hold, then; go home, be merry, give consent
FRIAR LAURENCE	To marry Paris: Wednesday is to-morrow!
FRIAR LAURENCE	To-morrow night look that thou lie alone,
